AAE	above aerodrome elevation 
PLN	Flight Plan
PLVL	Present Level
PMP	Primary Maintenance Process
PN	Prior Notice Required
PNR	Point of No Return
PO	Dust Devils
POB	Persons on Board
POH	Pilot Operating Handbook
POSS	Possible
PPI	Plan Position Indicator
PPL	Private Pilot Licence
PPR	Prior Permission Required
PPS	Precise Positioning Service
PPSN	Present Position
PRD	"Prohibited, Restricted and Danger Areas"
PRFG	Aerodrome Partially Covered by Fog (MET code)
PRI	Primary
PRKG	Parking
PRM	Precision Runway Monitoring
PRM	Precision runway monitoring
PROB	"Probable, Probability"
PROC	Procedure
PROV	Provisional
PS	Plus
PSG	Passing
PSN	Position
PSP	Pierced Steel Plank
PSR	Primary Surveillance Radar
PSYS	Pressure System(s)
PTBL	Portable
PTN	Procedure Turn
PTT	Push To Talk
PVT	Private
PWR	Power
QDM	Magnetic Heading (zero wind)
QDR	Magnetic Bearing
QEC	Quick Engine Change Unit
QFE	An altimeter set to QFE will read zero when the aircraft is on the runway
QMS	Quality Management System
QNH	Altimeter subscale setting to obtain elevation or altitude
QTE	True Bearing
QTG	Qualification test guide
QUAD	Quadrant
R	Red
R	Right (runway system identification)
R....	Restricted Area (followed by number)
R/T	Radio Telephone
RA	Rain
RA-Aus	Recreational Aviation Australia
RAAA	Recreational Aviation Association of Australia
RAAO	Recreational Aviation Administrative Organisation
RAC	Rules of the Air and Air Traffic Services
RAD	Radius
RAeS	Royal Aeronautical Society
RAFC	Regional Area Forecast Centre
RAG	Ragged
RAG	Runway Arresting Gear
RAI	Runway Alignment Indicator
RAIM	Receiver Autonomous Integrity Monitoring
RAM	Repair and Maintenance
RAPAC	Regional Airspace Users Advisory Committee
RAPIC	Radar Picture (MET)
RAS	Radar Advisory Service
RASF	Regional Aviation Safety Forum
RAT	RAM Air Turbine
RCA	"Reach Cruising Altitude,"
RCA	Request For Corrective Action
RCC	Rescue Coordination Centre
RCH	"Reach, Reaching"
RCL	Runway Centre Line
RCLL	Runway Centre Line Lights
RCLM	Runway Centre Line Marking
RDL	Radial
RDO	Radio
RDS	Runway Distance Supplement
RE...	"Recent (used to qualify weather phenomena, eg RERA = recent rain)"
REC	"Receive, Receiver, Received"
REDL	Runway Edge Lights
REF	Reference to... Refer to...
REG	Registration
RENL	Runway End Lights
ReOC	PRPA operator’s certificate
REP	"Report, Reported, Reporting, Reporting Point"
RePL	Remote pilot licence
REQ	"Request, Requested"
RERTE	Re-route
RES	Reserve Fuel
RESA	Runway end safety area
RESTR	Restrictions
REV	Review
RFACA	Royal Federation of Aero Clubs of Australia
RFC	Request for change
RFC	Regional Forecasting Centre (Met)
RFFS	Rescue and Fire Fighting Services
RH	Radio Height
RHC	Right-hand Circuit
RIF	Reclearance in Flight
RIFTO	Restricted Instrument Flight Take-off
RIS	Regulation Impact Statement
RIS	Radar information service
RL	Report Leaving
RLA	Relay to
RLLS	Runway Lead-in Lighting
RMIT	Royal Melbourne Institute of Technology
RMK	Remark(s)
RMS	Root Mean Square
RNAV	Area navigation
RNP	Required navigation performance
RO	Registered operator
ROBEX	Regional OPMET Bulletin Exchanges
ROC	Rate of Climb
ROD	Rate of Descent
ROFOR	Route Forecast (in aeronautical meteorological code)
RPA	Remotely piloted aircraft
RPA	Rules and practices for aerodromes
RPAS	Remotely piloted aircraft system
RPI	Radar Position Indicator
RPI	Regulatory Performance Indicator
RPI	Runway Point of Intercept
RPL	Recognition of prior learning
RPM	Revolutions Per Minute
RPS	Remote pilot station
RPT	Regular public transport
RQ	Require(d)
RQMNTS	Requirements
RR	Report Reaching
RRM	Routine Reportable Matters
RSC	Rescue Sub-Centre
RSCD	Runway Surface Condition
RSP	Responder Beacon
RSR	En route Surveillance Radar
RTB	Return to Base
RTCA	Radio Technical Commission for Aeronautics
RTE	Route
RTF	Radio Telephone
RTHL	Runway Threshold Light(s)
RTIL	Runway Threshold Identification Lights
RTN	"Return, Returned, Returning"
RTO	Rejected take-off
RTO	Registered training organisation
RTS	Return to Service
RTZL	Runway Touchdown Zone Light(s)
RVR	Runway visual range
RVSM	Reduced Vertical Separation Minimum
RWS	Runway Strip
RWY	Runway
S	"South, South Latitude"
S-I	Straight-In
S/E	Single-engine
SA	Sand
SA	Selective Availability
SA	Situation Awareness
SAAA	Sport Aircraft Association of Australia
SAL	Supplementary Airline Licence
SALR	Saturated Adiabatic Lapse Rate
SALS	Simple Approach Lighting System
SAR	Search and Rescue
SARPs	Standards and Recommended Practices
SARTIME	Time search action required
SARWATCH	Search and Rescue Watch
SATCOM	Satellite Communication
SB	Service Bulletin
SB	Southbound
SBAS	Satellite Based Augmentation System
SC	Stratocumulus
SCC	Standards Consultative Committee
SCP	Safety Critical Personnel
SCT	Scattered (meteorological)
SDBY	Standby
SDC	Standard Departure Clearance
SDR	Service difficulty report
SE	South East
SEA	Sea (used in connection with sea-surface temperature and state of the sea)
SEACO	Single engine aircraft only
SEC	Seconds
SECN	Section
SECT	Sector
SELCAL	Selective Calling System
SER	"Service, Servicing, Served"
SEV	Severe (used eg to qualify icing and turbulence report)
SFC	Surface
SFL	Sequenced Flashing Lights
SG	Snow Grains
SH...	"Showers (followed by RA=rain, SN=snow, PL=ice pellets, GR=hail, GS=small hail and/or snow pellets or combinations thereof, eg, SHRASN = showers of rain and snow)"
SHF	"Super High Frequency (3,000 to 30,000 MHZ)"
SHP	Shaft Horse Power
SID	Standard instrument departure
SIF	Selective Identification
SIG	Significant
SIGMET	Information concerning en route weather phenomena which may affect the safety of aircraft operations
SIL	Service Information Letter
SIMUL	"Simultaneous, or Simultaneously"
SKC	Sky Clear
SKED	"Schedule, Scheduled"
SL	Service Letter
SLP	Speed Limiting Point
SLW	"Slow, Slowly"
SM	Safety Manager
SMC	Surface Movement Control
SMR	Surface Movement Radar
SMS	Safety management system
SN	Snow
SNOWTAM	"A special series NOTAM notifying the presence or removal of hazardous conditions due to snow, ice, slush or standing water associated with snow, slush and ice on the movement area"
SOC	Start of Climb
SOE	Schedule of experience
SOM (SoM)	System of Maintenance
SOPs	Standard Operating Procedures
SOR	Summary of responses
SOT	Start of TORA (take-off)
SP	Single Pilot
SPA	Sport Aviation
SPECI	Aviation Special Weather (in aeronautical meteorological code)
SPFIB	Specific Preflight Information Bulletin
SPOT	Spotwind
SPS	Standard Positioning Service
SQ	Squall
SR	Sunrise
SRB	Safety Review Board
SRD	Standard Radar Departure
SRG	Short Range
SRM	Structural Repair Manual
SRR	Search and Rescue Region
SRY	Secondary
SS	Sandstorm
SS	Sunset
SSB	Single Sideband
SSCRO	Senate Standing Committee on Regulations and Ordinances
SSE	South South-East
SSI	Structural Significant Item
SSM	System Schematics Manual
SSR	Secondary Surveillance Radar
SST	Supersonic Transport
SSW	South South-West
ST	Stratus
STA	Straight in Approach
STAR	Standard Arrival Route
STAR	Standard instrumental arrival
STARs	Standard terminal arrival routes
STC	Supplemental Type Certificate
STD	Synthetic training device
STD	Standard
STF	Stratiform
STN	Station
STNR	Stationary
STODA	Supplementary Take-off Distance
STOL	Short Take-off and Landing
STS	Status
STWL	Stopway Light(s)
SUBJ	Subject to
SUP	Supplement (AIP Supplement)
SUPPS	Regional Supplementary Procedures
SVCBL	Serviceable
SVY	Survey Operations
SW	South-West
SWS	Soft Wet Surface
SWY	Stopway
T	Temperature
T-VASIS	'T'Visual Approach Slope Indicator System (pronounced 'TEE-VAR-SIS')
TA	Transition Altitude
TA	Traffic advisory
TAAATS	The Australian Advanced Air Traffic System
TAAM	Airservices Australia's Total Airspace Airport and Aerodrome Modeller
TAC	Terminal Area Chart
TACAN	Tactical Air Navigation Aid
TAF	Aerodrome Forecast
TAF	Terminal Area Forecast
TAIL	Tailwind
TAR	Terminal Area Surveillance Area
TAS	True Airspeed
TAT	Terminal Area Thunderstorm Service (meteorological term)
TAWS	Terrain awareness and warning system
TAWS-B+ system	"A terrain awareness and warning system that is equipped with a visual display and complies with the requirements for Class B equipment expressed in TSO-C151, TSO-C151a or TSO-C151b."
TAX	"Taxiing, Taxi"
TBA	To be advised
TBO	Time Between Overhauls
TC	Type Certificate
TC	Tropical Cyclone
TCAC	Tropical Cyclone Advisory Centre
TCAS	Traffic alert and collision avoidance system
TCDS	Type certificate data sheet
TCH	Threshold Crossing Height
TCO	Training and Checking Organisation
TCTA	Trans-continental Control Area
TCU	Towering Cumulus (met)
TDO	Tornado
TDZ	Touchdown Zone
TECR	Technical Reason
TEL	Telephone
TEM	(Illustrated) Tool And Equipment Manual
TEM	Threat and Error Management
TEMPO	"Temporary, Temporarily (meteorologically)"
TERPs	Terminal and En-route procedures
TFC	Traffic
TFR	Terrain Following Radar (by the MIL)
TGL	Touch & Go Landing
TGS	Taxiing Guidance System
THR	Threshold
THRU	Through
TIBA	Traffic Information Broadcasts by Aircraft
TIL	Until
TIP	Until Past (place)
TIS	Time in service
TKOF	Take-off
TLOF	Touchdown and lift-off area
TLS	Transponder Landing System
TLW	Time Limited WIP (work in progress)
TMA	Terminal Control Area
TMG	Track Made Good
TNA	Training Needs Analysis
TNA	Turn Altitude
TNH	Turn Height
TNS	Transitional Surface
TOC	Top of Climb
TODA	Take-off distance available
TOP	Cloud Top
TORA	Take-off run available
TOT	Turbine Outlet Temperature
TP	Turning Point
TR	Track
TRA	Temporary Reserved Airspace
TRAN	Transition
TRANS	"Transmits, Transmitter"
Trike	"A manned, powered hang-glider"
TRL	Transition Level
TROP	Tropopause
TS...	"Thunderstorm (followed by RA=rain, SN=snow, PE=ice pellets, GR=hail, GS=small hail and/or snow pellets or combinations thereof, eg TSRASN = thunderstorm with rain and snow)"
TSI	Time Since Installation
TSO	Technical Standard Order
TSO	Time Since Overhaul
TTF	Trend Type Forecast
TTMRA	Trans Tasman Mutual Recognition Agreement
TURB	Turbulence
TWR	"Aerodrome Control Tower, Aerodrome Control"
TWY	Taxiway
TWYL	Taxiway Link
TYP	Type of Aircraft
TYPH	Typhoon
U/S	Unserviceable
UAB	Until Advised By
UAS	Unmanned aerial system (UAV/RPAS)
UAV	Unmanned aerial vehicles
UDF	UHF Direction Finding Stations
UFIT	Uncontrolled Flight Into Terrain
UFN	Until Further Notice
UHDT	Unable Higher Due Traffic
UHF	"Ultra High Frequency (300 to 3,000 MHZ)"
UIR	Upper Flight Information Region
UK	United Kingdom
UL	Upper Limits
UNA	Unable
UNAP	Unable to Approve
UNICOM	Universal Communications
UNL	Unlimited
UNLC	Unlicensed
UNREL	Unreliable
UOC	Unmanned operating certificate
US FAR	Federal Aviation Regulations (of the USA)
USA	United States of America
UTA	Upper Control Area
UTC	Coordinated Universal Time
V	Velocity
V1	Take-off Decision Speed
V2	Take-off Safety Speed (Applicable to Larger Multi-engine Aircraft)
VA	Volcanic Ash
VA	Maximum Manoeuvring Speed
VAA-H	Visual Approach Area - Helicopter
VAAC	Volcanic Ash Advisory Centre
VAC	Visual Approach Chart (followed by name/title)
VAL	In Valleys
VAR	Magnetic Variation
VASIS	Visual Approach Slope Indicator System
VC	"Vicinity of the aerodrome (followed by FG=fog, FC=funnel cloud, PO=dust/sand whirls, BLDU=blowing dust, BLSA=blowing sand or BLSN=blowing snow; eg, VCFG=vicinity fog"
VCY	Vicinity
VDF	VHF Direction Finding Station
VEC	Visual En-route Chart
VER	Vertical
VFE	Flap Extension Speed
VFR	Visual flight rules
VHF	Very High Frequency (30 to 300 MHZ)
VHFCOM	Very High Frequency Communications
VIA	By way of...
VIMD	Maximum Drag Speed
VIP	Very Important Person
VIS	Visibility
VLE	Maximum Speed with Landing Gear Extended
VLF	Very Low Frequency (3 to 30 KHZ)
VLJ	Very Light Jet
VLO	Landing Gear Operating
VLO2	Landing Gear Operation Down
VLOS	Visual line of sight
VLR	Very Long Range
VMAN	Visual Manoeuvre Speed
VMC	Visual Meteorological Conditions
VMC	Minimum Control Speed
VMCA	Minimum Control Airspeed Airborne (Red line speed)
VMCG	Minimum Control Airspeed on the Ground
VMO	Maximum Structural Cruising Speed
VNAV	Vertical Navigation
VNE	Never Exceed Speed
VNO	Normal Operating Speed
VOLMET	Meteorological Information for Aircraft in Flight
VOR	VHF Omni-directional Radio Range (OMNI)
VP	Variable Pitch Propellers
VR	The speed at which the aircraft is rotated to lift off from the runway
VRB	Variable
VSI	Vertical Speed Indicator
VSI	Clean Stall Speed
VSL	Vertical speed limit
VSO	"Stalling speed, minimum steady flight speed in the landing configuration"
VSO	Stall speed with undercarriage and flap selected
VSSE	Safe single-engine Speed
VTC	Visual Terminal Chart
VTOL	Vertical take-off and landing
VTOSS	Take-off Safely Speed
VX	Best Angle of Climb Speed
VXSE	Best Single-engine Angle of Climb Speed
Vy	Best Rate of Climb Speed
VYSE	Best Single-engine Rate of Climb Speed (Blue line speed)
W	Watt
W	"West, West Longitude"
W	White
W/V	Wind Velocity
WAAS	Wide Area Augmentation System
WAC	"World Aeronautical Chart ICAO 1:1,000,000 (followed by name/title)"
WAFC	World Area Forecast Centre
WAFS	World Area Forecast System
WATIR	Weather and Terminal Information Reciter
WATOG	World Airlines Technical Operations Glossary
WB	Westbound
WBM	Weight And Balance Manual
WDI	Wind Direction Indicator
WDSPR	Widespread
WED	Wednesday
WEF	"With Effect From, Effective From"
WGS-84	World Geodetic System 1984
WI	Within
WID	Width
WIE	"With Immediate Effect, Effective Immediately"
WILCO	Will Comply
WIND	Wind (used in connection with direction and speed) WINTEM Forecast upper wind and temperature at specified points (in aeronautical met code)
WIP	Work in Progress
WKN	"Weaken, Weakening"
WM	Wiring Manual
WMO	World Meteorological Organisation
WNW	West North-West
WO	Without
WPT	Way-point
WRNG	Warning
WS	Wind Shear
WSW	West South-West
WT	Weight
WTSPT	Water Spout
WWW	World Wide Web
WX	Weather
X	Cross
XBAR	Crossbar (of approach lighting system)
XNG	Crossing
XS	Atmospherics
XSEC	Extra Section
Y	Yellow
YCZ	Yellow Caution Zone
YR	Your/s
Z	Coordinated Universal Time (in meteorological messages)
A/A	Air to air TACAN function
A/P	Autopilot
AAIM	Aircraft Autonomous Integrity Monitoring
ABAS	Aircraft-based augmentation system
AC	Advisory circular
ACARS	Aircraft communications addressing and reporting system
ACAS	Airborne collision avoidance system
ACC	Area control centre
ACE	Actuator control electronics
ACMS	Aircraft condition monitoring system
ACP	Audio control panel
ACR	Avionic Communication Router
ACS	Audio control system
ADAHRS	Air data and attitude and heading reference system
ADC	Air data computer
ADF	Automatic direction finder
ADI	Attitude director indicator
ADIRS	Air data inertial reference system
ADIRU	Air data inertial reference unit
ADM	Air data module
ADS	Either; automatic dependent surveillance or air data system
ADS-A	Automatic dependent surveillance – address
ADS-B	Automatic dependent surveillance – broadcast
ADS-C	Automatic dependent surveillance – contract
AESA	Active electronically scanned array
AFCS	Automatic flight control system
AFD	Autopilot flight director
AFDC	Autopilot flight director computer
AFDS	Autopilot flight director system
AFDX	Avionics Full-Duplex Switched Ethernet
AFIS	Either: Automatic flight information service or airborne flight information system
AGACS	"Automatic ground–air communications system, is also known as ATCSS or data link"
AGC	Automatic gain control
AGDL	Air–ground data link
AGL	Above Ground Level
AHC	Attitude heading control
AHRS	Attitude and heading reference system
AHRU	Attitude and heading reference unit
AIDS	Aircraft integrated data system
AIP	Aeronautical Information Publication
AIRAC	Aeronautical Information Regulation & Control
AIXM	Aeronautical information exchange model
ALC	Automatic level control
ALT	Either; altimeter or altitude
ALT hold	Altitude hold mode
ALTS	Altitude select
AMLCD	Active-matrix liquid crystal display
AMO	Approved maintenance organisation
AMS	Air management system
ANC	Active noise cancellation
ANN	Annunciator – caution warning system normally containing visual and audio alerts to the pilot
ANR	Active noise reduction
ANT	Antenna
AOC	Aeronautical operational control
AOP	Airport operating plan
APARS	Automatic pressure altitude reporting system
APIRS	Attitude and positioning inertial reference system
APOA	Airport of arrival
APC	Auto pilot computer
APOD	Airport of departure
APM	Aircraft personality module
APS	Auto pilot system
APU	Auxiliary power unit
APV	Approach Procedure with Vertical guidance (Instrumental approach)
ARINC	"Aeronautical Radio, Incorporated"
ASD	Aircraft situation display
ASDL	Aeronautical satellite data link
ASI	Airspeed indicator
ASR	Airport surveillance radar
ASU	Avionics switching unit
AT	Auto throttle
ATC	Air traffic control
ATCC	Air traffic control centre
ATCT	Airport traffic control tower
ATCRBS	Air traffic control radar beacon system
ATCSS	Air traffic control signalling system
ATIS	Automated terminal information service
ATR	Air transportable racking
ATR	Automatic thrust restoration
ATSAW	Airborne traffic situational awareness
ATSU	Air traffic services unit
ATT	Attitude
ATTCS	Automatic Take-off Thrust Control System
Avionics	Aviation electronics
AWOS	Automated weather observation system
AWACS	Advanced warning and control systems
ALNA	Airline network architecture
B RNAV	Basic area navigation
BARO	"Barometric indication, setting or pressure"
baro-VNAV	Barometric vertical navigation
BITE	Built-in test equipment
BCRS	Back course
BDI	Bearing distance indicator
BGAN	Broadcast Global Area Network
BER	Beyond economic repair
BTV	Brake to Vacate
C/L	Centre line
CAA	Civil Aviation Authority
CACTCS	"Cabin Air Conditioning and Temperature Control System (pronounced ""Cactus"")"
CAI	"Caution advisory panel (sometimes spelled ""caution-advisory"" or ""caution/advisory"")"
CAS	Calibrated airspeed
CAM	Cockpit area microphone (part of the cockpit voice recorder)
CAT I	Operational performance Category 1
CAT I Enhanced Allows for lower minimums than CAT I in some cases to CAT 2 minimums	0
CAT II	Operational performance Category II
CAT IIIa	Operational performance Category IIIa
CAT IIIb	Operational performance Category IIIb
CAT IIIc	Operational performance Category IIIc
CB	Cumulonimbus cloud
CBT	Computer-based training
CDA	Continuous descent approach
CDCCL	Critical Design Configuration Control Limitations
CDI	Course deviation indicator
CDTI	Cockpit display of traffic information
CFIT	Controlled flight into terrain
CHP	Course Heading Panel
CHT	Cylinder Head Temperature
CMU	Communications Management Unit
CNS	"Communication, navigation and surveillance"
CNS/ATM	"Communication, navigation and surveillance / Air traffic management[1]"
CODEC	Coder/decoder
COMM or COM	"Communications transceiver, Communications receiver, or Communications radio transmitter (now, normally: either VHF or UHF; HF communications avionics are usually abbreviated simply HF)"
COTS	Commercial off-the-shelf
CPA	Closest point of approach
CPDLC	Controller–pilot data link communications
CPS	Cycles per second
CRM	Crew Resource Management
CRT	Cathode ray tube
CTAF	Common traffic advisory frequency
CV/DFDR	Cockpit voice and digital flight data recorder
CVR	Cockpit voice recorder
CWS	Control wheel steering
DA	Decision Altitude (Precision approach or vertical guidance)
DA	Drift angle
DAPs	Downlink of aircraft parameters
DCDU	Data link control and display unit
DCL	Departure Clearance via CPDLC
DCP	Display control panel
DFDR	Digital Flight Data Recorder
DFMC	Dual Frequency Multiple Constellation
DG	Directional gyroscope
DGPS	Differential global positioning system
DH	"Decision height (Precision approach, referred to threshold elevation)"
DLR	Data link recorder
DME	Distance measuring equipment
DNC	Direct noise canceling
DP	Departure procedures
DPU	Display Processor Unit
DSP	Digital signal processing
DTU	Data transfer unit
DUAT	Direct user access terminal
DVE	Degraded Visual Environment
DRMC 	Direct Reading Magnetic Compass .
EADI	Electronic attitude director indicator
ECAM	Electronic Centralised Aircraft Monitor
ECU	Engine Control Unit (=EEC)
EEC	Electronic Engine Control
EFD	Electronic flight display
EFIS	Electronic flight instrument system
EGI	Embedded GPS Inertial
EGNOS	European Geostationary Navigation Overlay Service
EGPWS	Enhanced ground proximity warning system
EGT	Exhaust gas temperature
EHS	Enhanced surveillance
EHSI	Electronic horizontal situation indicator
EICAS	Engine indication crew alerting system
EIS	Electronic Instrument System
ELT	Emergency locator transmitter
ENC	Electronic noise canceling
ENG	Engine
ENR	Electronic noise reduction
EPR	Engine pressure ratio
EPU	Emergency Power Unit
ERAM	En Route Automation Modernization
ETOP(S)	Extended-range twin-engine operation(s)
FAA	Federal Aviation Administration
FADEC	Full authority digital engine control
FAF	Final approach fix
FANS	Future Air Navigation System
FAS	Final Approach Segment
FAT	Free air temperature
FATO	Final Approach and Take-off Area
FBO	Fixed Base Operator
FBW	Fly-by-wire
FCC	Flight Control Computer
FCMC	Fuel Control & Monitoring Computer
FCS	Flight Control System
FD	Flight Director
FDAU	Flight-data acquisition unit
FDPS	Flight plan Data Processing System
FDR	Flight Data Recorder
FDRS	Flight data recorder system
FDU	Flux detector unit
FF	Fuel flow
FG	Flight Guidance
FIC	Flight Information Centre
FIKI	Flight Into Known Ice
FIS-B	Flight information services – broadcast
FL	Flight Level
FLIR	Forward-looking infra-red
FLTA	Forward-looking terrain avoidance
FMA	Flight Mode Annunciator
FMGS	Flight Management & Guidance System
FMS	Flight management system
FOB	Fuel On-Board
FOD	Foreign object damage
FQIS	Fuel Quantity Indication System
FREQ	Frequency
FSS	Flight service station
FWS	Flight warning system
FYDS	Flight director/ Yaw damper system
GA	Go Around
GAST	GBAS Approach Service Type
GBAS	Ground based augmentation system
GCAS	Ground collision avoidance system
GCU	Generator control unit
GDOP	Geometric dilution of precision
GGS	Global positioning system ground station
GHz	Gigahertz
GLNS	GPS Landing and Navigation System
GLNU	GPS landing and navigation unit
GLONASS	Global Navigation Satellite System
GLS	GBAS Landing System
GLU	GPS landing unit
GMT	Greenwich Mean Time
GND	Ground
GNSS	Global Navigation Satellite System
GO	Go Around
GPS	Global Positioning System
GPWC	Ground proximity warning computer
GPWS	Ground proximity warning system
G/S	Glide Slope
GS	Ground speed
Hg	"Symbol for unit of pressure, Inch of Mercury"
HDG	Heading
HDG SEL	Heading select
HDOP	Horizontal dilution of precision
HF	High frequency
HHLD	Heading hold
HIRF	High intensity radiated field
HMD	Helmet-mounted display
HPR	High Pressure Rotor
HSD	High-speed data
HSI	Horizontal situation indicator
HSL	Heading select
HUMS	Health and usage monitoring systems
HUD	Head-up display
Hz	"Symbol for unit of frequency, Hertz"
IAF	Initial Approach Fix (Instrumental Approach)
IAP	Instrument approach procedure
IAS	Indicated airspeed
IAS	Intermediate Approach Segment (Instrumental Approach)
ID	Identify/Identification or identifier
IDENT	Identify/identifier
IDS	Information display system or integrated display system
IF	Intermediate Fix (Instrumental approach)
IFE	In-flight entertainment
IFF	Identification Friend or Foe
IFICS	Integrated Flight Instrument and Control System[2]
IFR	Instrument Flight Rules
ILS	Instrument landing system
IMC	Instrument meteorological conditions
IND	Indicator
InHg	Inch of Mercury
INS	Inertial Navigation System
IRS	Inertial Reference System
IRU	Inertial reference unit
ISA	International Standard Atmosphere
ISP	Integrated switching panel
ISIS	Integrated standby instrument system
ITT	Interstage turbine temperature
IVSI	Instantaneous vertical speed indicator
JTIDS	Joint Tactical Information Distribution System
KIAS	Knots Indicated airspeed
KTAS	Knots true airspeed
LAAS	Local Area Augmentation System
LADGPS	Local Area Differential GPS
LCD	Liquid crystal display
LDGPS	Local area differential global positioning satellite
LED	Light-emitting diode
LMM	Locator middle marker
LOC	Localizer
LOM	Locator outer marker
LOPA	Location of Passenger Accommodations
LORAN	Long-range navigation
LPR	Low Pressure Rotor
LPV	Localizer performance with vertical guidance
LRU	Line-replaceable unit
LTE	Loss of Tail Rotor Effectiveness Helicopters
LVP	"Low visibility procedures, a designated state of operations at aerodromes where instrument approaches and low visibility takeoff procedures are using during inclement weather"
LX	Lightning
MAP	Manifold absolute pressure or missed approach point
MAPS	Minimum Aviation Performance Standards
MAHF	Missed Approach Holding Fix (used in RNAV)
MAPt	Missed Approach Point (Instrument approach)
MAP	Missed Approach Procedure
MB	Marker beacon
MCBF	Mean cycles between failures
MCDU	Multi-purpose/Multi-function Control and Display Unit
MDA	Minimum Descent Altitude (non-precision approach)
MDH	Minimum Descent Height (non-precision approach)
MEA	Minimum en-route altitude
MEL	Minimum equipment list
METAR	Meteorological Aerodrome Report
MCP	Mode control panel
MF	Medium frequency
MFD	Multi-function display
MFDS	Multi-function display system
MIC	Microphone
MIDS	Multifunctional information distribution system
MILSPEC	Military specification
MKP	Multi-function Keypad
MKR	Marker beacon
MLS	Microwave landing system
MM	Middle marker
MMD	Moving map display
MNPS	Minimum navigation performance specifications
MOA	Military operations area
Mode A	Transponder pulse-code reporting
Mode C	Transponder code and altitude reporting
Mode S	"Transponder code, altitude, and TCAS reporting"
MOPS	Minimum Operational Performance Standard
MORA	Minimum Off Route Altitude
MOSArt	Modular Open System Architecture
MPU	Multifunction Processor Unit
MSA	Minimum safe altitude
MSD	Minimum Stabilization Distance
MSG	Message
MSP	Modes S-Specific Protocol
MSSS	Mode S-Specific Services
MTBF	Mean time between failures
MTBUR	Mean time between unscheduled removals
MTTF	Mean time to failure
MVA	Minimum vectoring altitude
MVFR	Marginal visual flight rules
MZFW	Maximum Zero Fuel Weight
N1	Low Pressure rotor (spool) speed (see Jet engine)
N2	High Pressure rotor (spool) speed (see Jet engine)
NAS	National Airspace System
NAV	Navigation receiver (normally VHF navigation receiver for VOR system.)
Navaid	Navigational aid
"NAVCOMM, NAV/COM or NAV-COM"	Combination navigation and communications equipment (normally VHF navigation receiver integrated with VHF communications transceiver).
NAVSTAR-GPS	NAVigation Satellite Timing And Ranging (The formal name for the space-borne or satellite navigation system)
NCAT	National Center for Aviation Training
NCATT	National Center for Aircraft Technician Training
ND	Navigation display
NDB	Non-directional radio beacon
NFF	No fault found
NGS	"Nitrogen Generation System, found in aircraft to reduce fire risk in fuel tanks."
NHA	Next Higher Assembly.
NM or NMI	Nautical mile
NORDO	No radio
NoTAM	Notice to Airmen
NOZ	Normal Operating Zone (Parallel runways operation)
NPA	Non-precision approach (Instrumental approach)
NVD	Night vision device
NVG	Night vision goggles
NTSB	National Transportation Safety Board
NTZ	No-Transgression Zone (Parallel runways operation)
OAS	Obstacle Assessment Surface
OAT	Outside air temperature
OBI	Omnibearing indicator (see CDI)
OBS	Omnibearing selector
OCC	Operations control center
OCH	Obstacle Clearance Height
OFZ	Obstacle Free Zone
OIS	Obstacle Identification Surface (Instrumental procedures)
OIS	Operational Information System
OM	Outer marker
OWE/OEW	Operating Weight Empty/Operating empty weight
PA	Public address system
PAEW	Personnel and equipment working
PAL	Pilot Activated Lighting
PAPI	Precision approach path indicator
PAR	Precision approach radar
PCL	Pilot Controlled Lighting
P-Code	GPS precision code
PD	Profile descent
PDC	Pre-Departure Clearance
PDOP	Position dilution of precision
PESA	Passive electronically scanned array
PFD	Primary flight display or primary flight director
PMG	Permanent magnet generator
PND	Primary navigation display
PNR	Passive noise reduction
POF	Phase of flight
POH	Pilot's Operating Handbook
POS	Position
P-RNAV	precision area navigation
PRA	Pre-recorded announcement
PSR	Primary surveillance radar
PSU	Passenger service unit
PTT	Push-to-talk
QAR	Quick Access Recorder
QNH	Barometric pressure adjusted to sea level
QRH	Quick Reference Handbook
RA	Resolution advisory (TCAS)
RAAS	Runway Awareness and Advisory System
Rad Alt	Radio Altitude
Radar	RAdio Detection And Ranging
RAI	Radio altimeter indicator
RAIM	"Receiver-autonomous integrity monitoring, also remote autonomous integrity monitoring"
RALT	Radar or radio altimeter
RAT	Ram air turbine
RCR	Reverse current relay
RCVR	Receiver
RDH	Reference Datum Height
RDMI	Radio distance magnetic indicator
RDP	Radar data processing system
RDR	Radar
REF	Reference
REIL	Runway end identifier lights
REL	Relative
RF	Radio frequency
RFI	Radio frequency interference
RHSM	Reduced horizontal separation minimal
RLG	Ring laser gyroscope
RLY	Relay
RMI	Radio magnetic indicator
RNAV	Area navigation
RNG	Range
RNP	Required Navigation Performance
ROC	Rate Of Climb
ROD	Rate Of Descent
RPA	Remotely Piloted Aircraft (Unmanned aerial vehicle)
RPAS	Remotely Piloted Aircraft System
RPM	Revolutions per minute
RSP	Reversion switch panel
RTE	Route
RTO	Rejected takeoff
RVR	Runway visual range
RVSM	Reduced vertical separation minimum
RX	Receiver
SAR	"Search and Rescue, Smart ACMS Recorder"
SAT	Static air temperature
SATCOM	Satellite communication
SATNAV	Satellite navigation
SD	Secure digital
SDF	Simplified directional facility
SDU	Satellite data unit
SELCAL	Selective calling
SID	Standard Instrument Departure
SIU	Satellite interface unit
SMS	Short Messaging Service
